card_code,card_name,card_color,card_rarity,card_type,card_level,digimon_form,digimon_type,play_cost,dp,digimon_attribute,card_effect,security_effect,inherited_effect,digivolve_cost1,digivolve_lvl1,digivolve_color1,digivolve_cost2,digivolve_lvl2,digivolve_color2,reprints_and_alts_amount,alt_digivolution_req,restriction_japan,restriction_west,set_name_japan,set_name_west,set_restrictionJP_date,restriction_date_west,set_west_date,set_jp_date,west_meta_decks1,west_meta_decks2,west_meta_decks3,west_meta_decks4,west_meta_decks5,west_meta_decks6,west_meta_decks7,west_meta_decks8,jp_meta_decks1,jp_meta_decks2,jp_meta_decks3,jp_meta_decks4,jp_meta_decks5,jp_meta_decks6,jp_meta_decks7,jp_meta_decks8,jp_meta_decks9,jp_meta_decks10
ST2-03,Gabumon,Blue,Uncommon,Digimon,3.0,Rookie,Reptile,3.0,2000.0,Data,,,[When Attacking] Trash the digivolution card at the bottom of 1 of your opponent's Digimon with a level of 5 or less.,0.0,2.0,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.04858496295396575,0.06124448799608035,0.035540812699917074,0.0777000777000777,0.009315323707498836,0.0,0.0,0.07899461400359066,0.008847208705653368,0.05533268778530917,0.05159958720330237,0.0,0.04155782474471622,0.0,0.0,0.0,0.0
ST2-04,Bearmon,Blue,Common,Digimon,3.0,Rookie,Beast,3.0,4000.0,Vaccine,,,,0.0,2.0,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03538883482261347,0.0,0.006449948400412796,0.0,0.0,0.0,0.0,0.0,0.0
ST2-05,Ikkakumon,Blue,Common,Digimon,4.0,Champion,Sea Beast,4.0,5000.0,Vaccine,,,,2.0,3.0,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-06,Garurumon,Blue,Uncommon,Digimon,4.0,Champion,Beast,5.0,4000.0,Vaccine,,,[When Attacking] Trash the digivolution card at the bottom of 1 of your opponent's Digimon.,2.0,3.0,Blue,,,,2,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.04899559039686428,0.0,0.0,0.0,0.0,0.0,0.04308797127468582,0.0,0.027666343892654585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-07,Gryzmon,Blue,Common,Digimon,4.0,Champion,Beast,5.0,6000.0,Vaccine,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).[When Attacking] Lose 2 memory.",,,2.0,3.0,Blue,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.7213706041478809,0.35224098141625165,0.02449779519843214,0.2013979386328634,0.19425019425019424,0.018630647414997672,0.0,0.0,0.5457809694793537,0.2565690524639476,0.1521648914096002,0.2515479876160991,0.21003500583430573,0.07124198527665639,0.0,0.0,0.0,0.0
ST2-08,Were Garurumon,Blue,Rare,Digimon,5.0,Ultimate,Beastkin,7.0,7000.0,Vaccine,,,"[Your Turn] While your opponent has a Digimon with no digivolution cards, this Digimon gains <Security Attack +1> (This Digimon checks 1 additional security card).",3.0,4.0,Blue,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.06011421701232341,0.012146240738491437,0.04899559039686428,0.0,0.0,0.0,0.0,0.0,0.10771992818671454,0.017694417411306736,0.0760824457048001,0.025799793601651185,0.09334889148191365,0.0,0.0,0.0,0.0,0.0
ST2-09,Zudomon,Blue,Uncommon,Digimon,5.0,Ultimate,Sea Beast,6.0,7000.0,Vaccine,[When Digivolving] Trash 2 digivolution cards at the bottom of 1 of your opponent's Digimon.,,,3.0,4.0,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.01224889759921607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013833171946327293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-10,Plesiomon,Blue,Rare,Digimon,6.0,Mega,Plesiosaur,10.0,12000.0,Data,,,,2.0,5.0,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.09017132551848511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13644524236983843,0.03538883482261347,0.04149951583898188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-11,Metal Garurumon,Blue,Super Rare,Digimon,6.0,Mega,Cyborg,11.0,11000.0,Data,[When Attacking] (Once Per Turn) Unsuspend this Digimon,,,4.0,5.0,Blue,,,,2,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.08574228319451249,0.0,0.0,0.0,0.0,0.0,0.028725314183123875,0.017694417411306736,0.05533268778530917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-12,Ishida Yamato,Blue,Rare,Tamer,,,,2.0,,,"[Start of Your Turn] If your opponent has a Digimon with no Digivolution cards, gain 1 memory.",[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.06011421701232341,0.060731203692457186,0.0,0.07108162539983415,0.09065009065009065,0.5309734513274336,0.2192638997650744,0.5270092226613966,0.0,0.11501371317349376,0.006916585973163646,0.025799793601651185,0.0,0.14842080265970078,0.046051116739580934,0.05944861410418369,0.013116474291710388,0.0
ST2-13,Hammer Spark,Blue,Common,Option,,,,0.0,,,[Main] Gain 1 memory.,[Security] Gain 2 memory.,,,,,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,1.3525698827772767,0.8259443702174176,0.46545810877021065,1.1965406942305414,1.3727013727013726,2.263623660922217,1.8480814408770558,1.3175230566534915,0.7396768402154399,0.6369990268070423,0.5533268778530916,0.9932920536635708,1.2368728121353558,0.33839943006411777,0.39143449228643795,0.7951252136434569,0.42628541448058765,0.2667503530519379
ST2-14,Sorrow Blue,Blue,Common,Option,,,,2.0,,,[Main] Choose 1 of your opponent's Digimon with no digivolution cards. That Digimon can't attack or block until the end of your opponent's next turn.,[Security] Choose 1 of your opponent's Digimon with no digivolution cards. That Digimon can't attack or block until the end of your next turn.,,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-15,Kaiser Nail,Blue,Common,Option,,,,4.0,,,[Main] Choose a Digimon digivolution card placed under 1 of your Digimon and play it as another Digimon without paying its memory cost.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.6311992786293958,0.23077857403133728,0.0,0.0,0.0518000518000518,0.12109920819748488,0.031323414252153486,0.0,0.0718132854578097,0.3184995134035212,0.05533268778530917,0.012899896800825593,0.28004667444574094,0.0949893137022085,0.0,0.0,0.0,0.0
ST2-16,Cocytus Breath,Blue,Uncommon,Option,,,,7.0,,,[Main] Return one of your opponent's Digimon to its owner's hand. (Trash all of the digivolution cards of that Digimon.),[Security] Activate this card's [Main] effect.,,,,,,,,2,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.6913134956417193,0.4008259443702174,0.09799118079372857,0.473877502665561,0.3626003626003626,0.04657661853749418,0.1096319498825372,0.5270092226613966,0.18671454219030523,0.3804299743430948,0.09683220362429104,0.29669762641898867,0.28004667444574094,0.023747328425552126,0.0,0.08174184439325258,0.5836831059811123,0.29813274752863644
ST3-01,Tokomon,Yellow,Uncommon,Digi-Egg,2.0,In-Training,Lesser,,,,,,"[Your Turn] (Once Per Turn) When an opponent's Digimon is deleted by dropping to 0 DP, this Digimon gets +1000 DP for the turn.",,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.030057108506161705,0.0,0.0,0.0,0.0259000259000259,0.0,0.0,0.0,0.05026929982046679,0.07077766964522694,0.027666343892654585,0.012899896800825593,0.0,0.0,0.0,0.0,0.0,0.0
ST3-02,Plotmon,Yellow,Common,Digimon,3.0,Rookie,Mammal,2.0,3000.0,Vaccine,,,,0.0,2.0,Yellow,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.18034265103697023,0.10931616664642294,0.2449779519843214,0.0,0.0259000259000259,0.0,0.0,0.0,0.05026929982046679,0.5396797310448553,0.47032784617512796,0.04514963880288957,0.0,0.011873664212776063,0.0,0.0,0.0,0.0
ST3-03,Bakumon,Yellow,Common,Digimon,3.0,Rookie,Holy Beast,3.0,2000.0,Vaccine,,,,0.0,2.0,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3-04,Patamon,Yellow,Uncommon,Digimon,3.0,Rookie,Mammal,3.0,1000.0,Data,,,"[Your Turn] (Once Per Turn) When an opponent's Digimon is deleted by dropping to 0 DP, gain 1 memory.",0.0,2.0,Yellow,,,,3,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,1.3826269912834386,1.2510627960646181,0.869671729544341,0.3080203767326146,0.06475006475006474,0.0,2.302270947533281,0.5270092226613966,0.3518850987432675,1.2651508449084314,0.9268225204039287,0.04514963880288957,0.046674445740956826,0.0,0.18420446695832374,0.7654009065913651,0.24921301154249736,0.1255295779067943
ST3-05,Angemon,Yellow,Uncommon,Digimon,4.0,Champion,Angel,5.0,4000.0,Vaccine,,,"[When Attacking] If you have 4 or more security cards, gain 1 memory.",2.0,3.0,Yellow,,,,3,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0777000777000777,0.0,0.0,0.0,0.0,0.017694417411306736,0.0,0.0,0.0,0.0,0.046051116739580934,0.0,0.0,0.0
ST3-06,Tailmon,Yellow,Common,Digimon,4.0,Champion,Holy Beast,4.0,5000.0,Vaccine,,,,2.0,3.0,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3-07,Unimon,Yellow,Common,Digimon,4.0,Champion,Mythical Beast,5.0,6000.0,Vaccine,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).[When Attacking] Lose 2 memory.",,,2.0,3.0,Yellow,,,,3,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,1.4727983168019236,1.3239402404955667,1.3106320431161196,0.5686530031986732,0.2331002331002331,0.037261294829995344,0.0,0.0,0.6247755834829444,1.0439706272670972,1.1066537557061833,0.30959752321981426,0.3500583430571762,0.11873664212776064,0.0,0.0,0.0,0.0
ST3-08,Holy Angemon,Yellow,Rare,Digimon,5.0,Ultimate,Archangel,7.0,7000.0,Vaccine,,,[When Attacking] 1 of your opponent's Digimon gets -1000 DP for the turn.,3.0,4.0,Yellow,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3-09,Angewomon,Yellow,Uncommon,Digimon,5.0,Ultimate,Archangel,6.0,7000.0,Vaccine,"[When Digivolving] If you have 3 security cards or less, trigger <Recovery +1 (Deck)> (Place the top card of your deck on top of your security stack).",,,3.0,4.0,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.5710850616170725,0.6316045184015547,0.09799118079372857,0.035540812699917074,0.0518000518000518,0.04657661853749418,0.0,0.0,0.24416517055655296,0.5573741484561621,0.12449854751694564,0.11609907120743033,0.28004667444574094,0.023747328425552126,0.0,0.014862153526045923,0.0,0.0
ST3-10,Holydramon,Yellow,Rare,Digimon,6.0,Mega,Holy Dragon/Four Great Dragons,10.0,12000.0,Vaccine,,,,2.0,5.0,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.12022843402464682,0.194339851815863,0.11024007839294464,0.0,0.0,0.0,0.0,0.0,0.0,0.11501371317349376,0.0,0.012899896800825593,0.0,0.0,0.0,0.0,0.0,0.0
ST3-11,Seraphimon,Yellow,Super Rare,Digimon,6.0,Mega,Seraph/Three Great Angels,12.0,10000.0,Vaccine,[When Attacking] 1 of your opponent's Digimon gets -4000 DP for the turn.,,,4.0,5.0,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181328545780969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3-12,Takaishi Takeru,Yellow,Rare,Tamer,,,,2.0,,,[Opponent's Turn] All of your Security Digimon get +2000 DP.,[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.9017132551848512,0.4008259443702174,0.03674669279764821,0.0,0.01295001295001295,0.10246856078248719,0.0,0.0,0.5098743267504489,0.4512076439883217,0.19366440724858208,0.13544891640866874,0.046674445740956826,0.2790311090002375,0.0,0.022293230289068888,0.05902413431269675,0.03138239447669858
ST3-13,Heaven's Gate,Yellow,Common,Option,,,,1.0,,,[Main] 1 of your Digimon gets +3000 DP for the turn.,[Security] All of your Digimon and Security Digimon get +5000 DP for the turn. Then add this card to its owner's hand.,,,,,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3-14,Heaven's Charm,Yellow,Common,Option,,,,2.0,,,[Main] 1 of your opponent's Digimon gets -2000 DP for the turn.,[Security] Add this card to its owner's hand.,,,,,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST3-15,Holy Flame,Yellow,Common,Option,,,,2.0,,,[Main] 1 of your opponent's Digimon gains <Security Attack -3> (This Digimon checks 3 fewer security cards).,[Security] All of your opponent's Digimon gain <Security Attack -1> (This Digimon checks 1 fewer security card).,,,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.0,0.0,0.01224889759921607,0.0,0.0,0.09315323707498836,0.20360219263899768,0.13175230566534915,0.014362657091561938,0.0,0.0,0.0,0.0,0.08311564948943244,0.0690766751093714,0.03715538381511481,0.0,0.2510591558135886
ST3-16,Seven Heavens,Yellow,Uncommon,Option,,,,7.0,,,[Main] 1 of your opponent's Digimon gets -10000 DP for the turn.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0.39074241058010223,0.668043240617029,0.17148456638902498,0.035540812699917074,0.0,0.0,0.0,0.0,0.1149012567324955,0.14155533929045389,0.04149951583898188,0.07739938080495357,0.0,0.0,0.0,0.0,0.0,0.04707359171504786
ST4-01,Mochimon,Green,Uncommon,Digi-Egg,2.0,In-Training,Lesser,,,,,,"[Your Turn] While this Digimon is level 6 or higher, it gets +1000 DP.",,,,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0.0,0.43726466658569174,0.03674669279764821,0.011846937566639024,0.01295001295001295,0.0,0.0,0.0,0.02154398563734291,0.34504113952048127,0.02074975791949094,0.012899896800825593,0.09334889148191365,0.05936832106388032,0.0,0.0,0.0,0.0
ST4-02,Floramon,Green,Common,Digimon,3.0,Rookie,Vegetation,2.0,4000.0,Data,,,,1.0,2.0,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18671454219030523,0.06193046093957357,0.013833171946327293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST4-03,Tentomon,Green,Uncommon,Digimon,3.0,Rookie,Insectoid,3.0,2000.0,Vaccine,"[On Play] Reveal the top card of your deck. If it's a green Digimon card, add it to your hand. Otherwise, place it at the bottom of your deck.",,,0.0,2.0,Green,,,,3,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0.030057108506161705,1.1781853516336693,0.47770700636942676,0.31986731429925364,0.19425019425019424,0.037261294829995344,0.031323414252153486,0.0,0.3087971274685817,1.1766787578518976,0.24899709503389128,0.12899896800825594,0.046674445740956826,0.07717881738304441,0.023025558369790467,0.022293230289068888,0.07214060860440713,0.0
ST4-04,Palmon,Green,Common,Digimon,3.0,Rookie,Vegetation,3.0,2000.0,Data,,,"[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.",0.0,2.0,Green,,,,2,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0.0,0.4979958702781489,0.44096031357177856,0.10662243809975121,0.19425019425019424,0.09315323707498836,0.12529365700861395,0.0,0.46678635547576297,1.548261523489339,0.1659980633559275,0.07739938080495357,0.0,0.14248397055331277,0.2993322588072761,0.03715538381511481,0.013116474291710388,0.1255295779067943
ST4-05,Kunemon,Green,Common,Digimon,3.0,Rookie,Larva,4.0,5000.0,Virus,,,,0.0,2.0,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007431076763022962,0.0,0.0
