card_code,card_name,card_color,card_rarity,card_type,card_level,digimon_form,digimon_type,play_cost,dp,digimon_attribute,card_effect,security_effect,inherited_effect,digivolve_cost1,digivolve_lvl1,digivolve_color1,digivolve_cost2,digivolve_lvl2,digivolve_color2,reprints_and_alts_amount,alt_digivolution_req,restriction_japan,restriction_west,set_name_japan,set_name_west,set_restrictionJP_date,restriction_date_west,set_west_date,set_jp_date,west_meta_decks1,west_meta_decks2,west_meta_decks3,west_meta_decks4,west_meta_decks5,west_meta_decks6,west_meta_decks7,west_meta_decks8,jp_meta_decks1,jp_meta_decks2,jp_meta_decks3,jp_meta_decks4,jp_meta_decks5,jp_meta_decks6,jp_meta_decks7,jp_meta_decks8,jp_meta_decks9,jp_meta_decks10
ST1-11,War Greymon,Red,Super Rare,Digimon,6,Mega,Dragonkin,12,12000,Vaccine,"[Your Turn] For every 2 digivolution cards this Digimon has, it gains <Security Attack +1> (This Digimon checks 1 additional security card).",,,4          ,5,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,2,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0
ST1-12,Yagami Taichi,Red,Rare,Tamer,,,,2,,,[Your Turn] All of your Digimon get +1000 DP.,[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,10,45,12,10,9,0,2,0,20,3,11,16,6,2,0,2,0,0
ST1-13,Shadow Wing,Red,Common,Option,,,,1,,,[Main] 1 of your Digimon gets +3000 DP for the turn.,[Security] All of your Digimon gain <Security Attack +1> (This Digimon checks 1 additional security card) until the end of your next turn.,,,,,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ST1-14,Starlight Explosion,Red,Common,Option,,,,2,,,[Main] All of your Security Digimon get +7000 DP until the end of your opponent's next turn.,[Security] All of your Security Digimon get +7000 DP for the turn.,,,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST1-15,Giga Destroyer,Red,Common,Option,,,,6,,,[Main] Delete up to 2 of your opponent's Digimon with 4000 DP or less.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ST1-16,Gaia Force,Red,Uncommon,Option,,,,8,,,[Main] Delete 1 of your opponent's Digimon.,[Security] Activate this card's [Main] effect.,,,,,,,,4,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,61,95,66,76,50,13,0,1,142,80,157,128,27,22,1,31,21,4
ST2-01,Tunomon,Blue,Uncommon,Digi-Egg,2,In-Training,Lesser,,,,,,[Your Turn] This Digimon gets +1000 DP when battling an opponent's Digimon that has no digivolution cards.,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ST2-02,Gomamon,Blue,Common,Digimon,3,Rookie,Sea Beast,2,3000,Vaccine,,,,0          ,2,Blue,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,40,34,17,10,0,2,0,0,121,43,44,22,2,1,3,0,0,0
ST2-03,Gabumon,Blue,Uncommon,Digimon,3,Rookie,Reptile,3,2000,Data,,,[When Attacking] Trash the digivolution card at the bottom of 1 of your opponent's Digimon with a level of 5 or less.,0          ,2,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,4,5,3,6,1,0,0,11,1,8,8,0,7,0,0,0,0
ST2-04,Bearmon,Blue,Common,Digimon,3,Rookie,Beast,3,4000,Vaccine,,,,0          ,2,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
ST2-05,Ikkakumon,Blue,Common,Digimon,4,Champion,Sea Beast,4,5000,Vaccine,,,,2          ,3,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST2-06,Garurumon,Blue,Uncommon,Digimon,4,Champion,Beast,5,4000,Vaccine,,,[When Attacking] Trash the digivolution card at the bottom of 1 of your opponent's Digimon.,2          ,3,Blue,,,,2,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,4,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0
ST2-07,Gryzmon,Blue,Common,Digimon,4,Champion,Beast,5,6000,Vaccine,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).[When Attacking] Lose 2 memory.",,,2          ,3,Blue,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,24,29,2,17,15,2,0,0,76,29,22,39,9,12,0,0,0,0
ST2-08,Were Garurumon,Blue,Rare,Digimon,5,Ultimate,Beastkin,7,7000,Vaccine,,,"[Your Turn] While your opponent has a Digimon with no digivolution cards, this Digimon gains <Security Attack +1> (This Digimon checks 1 additional security card).",3          ,4,Blue,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,2,1,4,0,0,0,0,0,15,2,11,4,4,0,0,0,0,0
ST2-09,Zudomon,Blue,Uncommon,Digimon,5,Ultimate,Sea Beast,6,7000,Vaccine,[When Digivolving] Trash 2 digivolution cards at the bottom of 1 of your opponent's Digimon.,,,3          ,4,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ST2-10,Plesiomon,Blue,Rare,Digimon,6,Mega,Plesiosaur,10,12000,Data,,,,2          ,5,Blue,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,3,0,0,0,0,0,0,0,19,4,6,0,0,0,0,0,0,0
ST2-11,Metal Garurumon,Blue,Super Rare,Digimon,6,Mega,Cyborg,11,11000,Data,[When Attacking] (Once Per Turn) Unsuspend this Digimon,,,4          ,5,Blue,,,,2,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,7,0,0,0,0,0,4,2,8,0,0,0,0,0,0,0
ST2-12,Ishida Yamato,Blue,Rare,Tamer,,,,2,,,"[Start of Your Turn] If your opponent has a Digimon with no Digivolution cards, gain 1 memory.",[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,2,5,0,6,7,57,14,4,0,13,1,4,0,25,2,8,2,0
ST2-13,Hammer Spark,Blue,Common,Option,,,,0,,,[Main] Gain 1 memory.,[Security] Gain 2 memory.,,,,,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,45,68,38,101,106,243,118,10,103,72,80,154,53,57,17,107,65,17
ST2-14,Sorrow Blue,Blue,Common,Option,,,,2,,,[Main] Choose 1 of your opponent's Digimon with no digivolution cards. That Digimon can't attack or block until the end of your opponent's next turn.,[Security] Choose 1 of your opponent's Digimon with no digivolution cards. That Digimon can't attack or block until the end of your next turn.,,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST2-15,Kaiser Nail,Blue,Common,Option,,,,4,,,[Main] Choose a Digimon digivolution card placed under 1 of your Digimon and play it as another Digimon without paying its memory cost.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,21,19,0,0,4,13,2,0,10,36,8,2,12,16,0,0,0,0
ST2-16,Cocytus Breath,Blue,Uncommon,Option,,,,7,,,[Main] Return one of your opponent's Digimon to its owner's hand. (Trash all of the digivolution cards of that Digimon.),[Security] Activate this card's [Main] effect.,,,,,,,,2,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,23,33,8,40,28,5,7,4,26,43,14,46,12,4,0,11,89,19
ST3-01,Tokomon,Yellow,Uncommon,Digi-Egg,2,In-Training,Lesser,,,,,,"[Your Turn] (Once Per Turn) When an opponent's Digimon is deleted by dropping to 0 DP, this Digimon gets +1000 DP for the turn.",,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,1,0,0,0,2,0,0,0,7,8,4,2,0,0,0,0,0,0
ST3-02,Plotmon,Yellow,Common,Digimon,3,Rookie,Mammal,2,3000,Vaccine,,,,0          ,2,Yellow,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,6,9,20,0,2,0,0,0,7,61,68,7,0,2,0,0,0,0
ST3-03,Bakumon,Yellow,Common,Digimon,3,Rookie,Holy Beast,3,2000,Vaccine,,,,0          ,2,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3-04,Patamon,Yellow,Uncommon,Digimon,3,Rookie,Mammal,3,1000,Data,,,"[Your Turn] (Once Per Turn) When an opponent's Digimon is deleted by dropping to 0 DP, gain 1 memory.",0          ,2,Yellow,,,,3,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,46,103,71,26,5,0,147,4,49,143,134,7,2,0,8,103,38,8
ST3-05,Angemon,Yellow,Uncommon,Digimon,4,Champion,Angel,5,4000,Vaccine,,,"[When Attacking] If you have 4 or more security cards, gain 1 memory.",2          ,3,Yellow,,,,3,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0
ST3-06,Tailmon,Yellow,Common,Digimon,4,Champion,Holy Beast,4,5000,Vaccine,,,,2          ,3,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3-07,Unimon,Yellow,Common,Digimon,4,Champion,Mythical Beast,5,6000,Vaccine,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).[When Attacking] Lose 2 memory.",,,2          ,3,Yellow,,,,3,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,49,109,107,48,18,4,0,0,87,118,160,48,15,20,0,0,0,0
ST3-08,Holy Angemon,Yellow,Rare,Digimon,5,Ultimate,Archangel,7,7000,Vaccine,,,[When Attacking] 1 of your opponent's Digimon gets -1000 DP for the turn.,3          ,4,Yellow,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3-09,Angewomon,Yellow,Uncommon,Digimon,5,Ultimate,Archangel,6,7000,Vaccine,"[When Digivolving] If you have 3 security cards or less, trigger <Recovery +1 (Deck)> (Place the top card of your deck on top of your security stack).",,,3          ,4,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,19,52,8,3,4,5,0,0,34,63,18,18,12,4,0,2,0,0
ST3-10,Holydramon,Yellow,Rare,Digimon,6,Mega,Holy Dragon/Four Great Dragons,10,12000,Vaccine,,,,2          ,5,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,4,16,9,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0
ST3-11,Seraphimon,Yellow,Super Rare,Digimon,6,Mega,Seraph/Three Great Angels,12,10000,Vaccine,[When Attacking] 1 of your opponent's Digimon gets -4000 DP for the turn.,,,4          ,5,Yellow,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ST3-12,Takaishi Takeru,Yellow,Rare,Tamer,,,,2,,,[Opponent's Turn] All of your Security Digimon get +2000 DP.,[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,30,33,3,0,1,11,0,0,71,51,28,21,2,47,0,3,9,2
ST3-13,Heaven's Gate,Yellow,Common,Option,,,,1,,,[Main] 1 of your Digimon gets +3000 DP for the turn.,[Security] All of your Digimon and Security Digimon get +5000 DP for the turn. Then add this card to its owner's hand.,,,,,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3-14,Heaven's Charm,Yellow,Common,Option,,,,2,,,[Main] 1 of your opponent's Digimon gets -2000 DP for the turn.,[Security] Add this card to its owner's hand.,,,,,,,,2,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3-15,Holy Flame,Yellow,Common,Option,,,,2,,,[Main] 1 of your opponent's Digimon gains <Security Attack -3> (This Digimon checks 3 fewer security cards).,[Security] All of your opponent's Digimon gain <Security Attack -1> (This Digimon checks 1 fewer security card).,,,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,0,0,1,0,0,10,13,1,2,0,0,0,0,14,3,5,0,16
ST3-16,Seven Heavens,Yellow,Uncommon,Option,,,,7,,,[Main] 1 of your opponent's Digimon gets -10000 DP for the turn.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST3,ST3,,,2020-11-27,2020-04-24,13,55,14,3,0,0,0,0,16,16,6,12,0,0,0,0,0,3
ST4-01,Mochimon,Green,Uncommon,Digi-Egg,2,In-Training,Lesser,,,,,,"[Your Turn] While this Digimon is level 6 or higher, it gets +1000 DP.",,,,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,36,3,1,1,0,0,0,3,39,3,2,4,10,0,0,0,0
ST4-02,Floramon,Green,Common,Digimon,3,Rookie,Vegetation,2,4000,Data,,,,1          ,2,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,26,7,2,0,0,0,0,0,0,0
ST4-03,Tentomon,Green,Uncommon,Digimon,3,Rookie,Insectoid,3,2000,Vaccine,"[On Play] Reveal the top card of your deck. If it's a green Digimon card, add it to your hand. Otherwise, place it at the bottom of your deck.",,,0          ,2,Green,,,,3,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,1,97,39,27,15,4,2,0,43,133,36,20,2,13,1,3,11,0
ST4-04,Palmon,Green,Common,Digimon,3,Rookie,Vegetation,3,2000,Data,,,"[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.",0          ,2,Green,,,,2,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,41,36,9,15,10,8,0,65,175,24,12,0,24,13,5,2,8
ST4-05,Kunemon,Green,Common,Digimon,3,Rookie,Larva,4,5000,Virus,,,,0          ,2,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ST4-06,Togemon,Green,Common,Digimon,4,Champion,Vegetation,4,4000,Data,,,"[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.",2          ,3,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0
ST4-07,Kuwagamon,Green,Common,Digimon,4,Champion,Insectoid,5,6000,Virus,,,,2          ,3,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST4-08,Kabuterimon,Green,Uncommon,Digimon,4,Champion,Insectoid,6,5000,Vaccine,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead). [When Attacking] Lose 2 memory.",,,1          ,3,Green,,,,2,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,120,57,39,20,7,0,0,82,217,76,19,18,21,7,10,50,8
ST4-09,Okuwamon,Green,Common,Digimon,5,Ultimate,Insectoid,6,7000,Virus,,,,2          ,4,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ST4-10,Lilimon,Green,Uncommon,Digimon,5,Ultimate,Fairy,6,7000,Data,[When Digivolving] Reveal the top 5 cards of your deck. Add 1 level 6 or higher Digimon card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,,,3          ,4,Green,,,,2,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,3,3,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0
ST4-11,Atlur Kabuterimon,Green,Rare,Digimon,5,Ultimate,Insectoid,7,7000,Vaccine,,,"[Your Turn] (Once Per Turn) When this Digimon deletes an opponent's Digimon in battle and survives, trash the top card of your opponent's security stack.",3          ,4,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,37,6,2,6,2,0,0,28,46,3,1,0,0,0,0,0,0
ST4-12,Rosemon,Green,Rare,Digimon,6,Mega,Fairy,10,11000,Data,[When Digivolving] 1 of your opponent's Digimon can't attack or block until the end of their next turn.,,,3          ,5,Green,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,6,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ST4-13,Herakle Kabuterimon,Green,Super Rare,Digimon,6,Mega,Insectoid,12,12000,Vaccine,"<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would).[Main] <Digi-Burst 2> (You may trash 2 of this Digimon's digivolution cards to activate the effect below).・Suspend 1 of your opponent's Digimon.",,,4          ,5,Green,,,,2,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,33,16,1,2,6,0,0,50,116,12,2,2,4,0,0,0,0
ST4-14,Izumi Koshiro,Green,Rare,Tamer,,,,2,,,"[Your Turn] When one of your opponent's Digimon becomes suspended, you may suspend this Tamer to gain 1 memory.",[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,23,0,3,0,0,0,0,0,2,0,28,5,0
ST4-15,Chikuchiku Bang Bang,Green,Common,Option,,,,2,,,[Main] Suspend 1 of your opponent's Digimon.,"[Security] Activate this card's [Main] effect. Then, add this card to your hand.",,,,,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,60,39,10,10,1,0,0,29,22,26,16,4,3,0,5,0,0
ST4-16,Mega Blaster,Green,Uncommon,Option,,,,5,,,[Main] Return 1 of your opponent's suspended Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST4,ST4,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,13,2
ST5-01,Caprimon,Black,Uncommon,Digi-Egg,2,In-Training,Lesser,,,,,,[Your Turn] While this Digimon has <Blocker> it gets +1000 DP.,,,,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,14,6,8,4,0,0,0,12,9,7,16,8,1,1,0,0,0
ST5-02,Jazamon,Black,Common,Digimon,3,Rookie,Bird Dragon,2,4000,Data,,,,1          ,2,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0
ST5-03,Agumon,Black,Uncommon,Digimon,3,Rookie,Reptile,3,1000,Vaccine,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).",,,0          ,2,Black,,,,2,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,8,0,4,4,2,0,0,19,4,7,6,0,3,0,2,0,0
ST5-04,Toy Agumon,Black,Common,Digimon,3,Rookie,Puppet,3,2000,Virus,,,"[End of Opponent's Turn] If your opponent didn't attack with a Digimon this turn, trigger <Draw 1> (Draw 1 card from your deck).",0          ,2,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,17,22,2,2,0,0,0,23,18,26,6,0,0,0,0,0,0
ST5-05,Commandramon,Black,Common,Digimon,3,Rookie,Cyborg/D-Brigade,4,5000,Virus,,,,0          ,2,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,6,20,36,26,0,0,0,0,20,20,28,8,27,0,6,26,0
ST5-06,Greymon,Black,Common,Digimon,4,Champion,Dinosaur,4,4000,Virus,,,"[End of Opponent's Turn] If your opponent didn't attack with a Digimon this turn, trigger <Draw 1> (Draw 1 card from your deck).",2          ,3,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST5-07,Jazardmon,Black,Common,Digimon,4,Champion,Machine Dragon,5,6000,Data,,,,2          ,3,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST5-08,Dark Tyranomon,Black,Uncommon,Digimon,4,Champion,Dinosaur,6,5000,Virus,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead). [When Attacking] Lose 2 memory.",,,1          ,3,Black,,,,2,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,20,22,10,23,12,0,0,34,38,36,71,16,8,0,0,0,0
ST5-09,Metal Greymon,Black,Uncommon,Digimon,5,Ultimate,Cyborg,6,7000,Virus,"[When Digivolving] Until the end of your opponent's next turn, 1 of your Digimon gains <Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).",,,3          ,4,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ST5-10,Metal Tyranomon,Black,Common,Digimon,5,Ultimate,Cyborg,6,9000,Virus,,,,3          ,4,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST5-11,Megadramon,Black,Rare,Digimon,5,Ultimate,Cyborg,7,7000,Virus,,,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).",3          ,4,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,12,11,2,12,13,2,0,15,12,17,32,13,32,0,4,1,0
ST5-12,Mugendramon,Black,Rare,Digimon,6,Mega,Machine,10,11000,Virus,[When Digivolving] Up to 2 of your Digimon gain <Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase) until the end of your opponent's next turn.,,,3          ,5,Black,,,,1,,Unrestricted,Unrestricted,ST5,ST5,,,2021-11-06,2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
